Query_ID,Query_Natural_Language,Query_Type,ModelX,ModelY,User_Choice,Comment/Explanation
33,List of directors of comedy shows or movies about school and friends ?,Triple-pattern queries with many results,Our Approach,No-Rank Approach,No-Rank Approach,y list has more various results
33,List of directors of comedy shows or movies about school and friends ?,Triple-pattern queries with many results,Our Approach,No-Rank Approach,No-Rank Approach,List x have repeats
33,List of directors of comedy shows or movies about school and friends ?,Triple-pattern queries with many results,Our Approach,No-Rank Approach,same,"Both lists are of the requested genre, although with different series"
33,List of directors of comedy shows or movies about school and friends ?,Triple-pattern queries with many results,Our Approach,No-Rank Approach,same,Same
33,List of directors of comedy shows or movies about school and friends ?,Triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,Y is out of topic
34,List of stars of comedy movies about police ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,same,both are corect
34,List of stars of comedy movies about police ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,same,Same
34,List of stars of comedy movies about police ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,same,not sure which one is  comedy movies about police
34,List of stars of comedy movies about police ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,Our Approach,y are police comedy movies and series
34,List of stars of comedy movies about police ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,No-Rank Approach,Y has a tv seriess
35,List of teams; their managers; and their locations ?,Triple-pattern queries with many results,No-Rank Approach,Our Approach,same,both lists are valid
35,List of teams; their managers; and their locations ?,Triple-pattern queries with many results,No-Rank Approach,Our Approach,No-Rank Approach,More results
35,List of teams; their managers; and their locations ?,Triple-pattern queries with many results,No-Rank Approach,Our Approach,same,both are corect
35,List of teams; their managers; and their locations ?,Triple-pattern queries with many results,No-Rank Approach,Our Approach,same,Both lists are of teams; their managers; and their locations.
35,List of teams; their managers; and their locations ?,Triple-pattern queries with many results,No-Rank Approach,Our Approach,same,Same
36,List of employees and their alma maters ?,Triple-pattern queries with many results,No-Rank Approach,Our Approach,same,both results are valid
36,List of employees and their alma maters ?,Triple-pattern queries with many results,No-Rank Approach,Our Approach,same,Equals
36,List of employees and their alma maters ?,Triple-pattern queries with many results,No-Rank Approach,Our Approach,same,both are corect
36,List of employees and their alma maters ?,Triple-pattern queries with many results,No-Rank Approach,Our Approach,No-Rank Approach,"Y includes some NO alma mater, but countries."
36,List of employees and their alma maters ?,Triple-pattern queries with many results,No-Rank Approach,Our Approach,same,Same
42,List of late actresses from Los Angeles; and their death dates ?,Triple-pattern queries with many results,No-Rank Approach,Our Approach,same,both are corect
42,List of late actresses from Los Angeles; and their death dates ?,Triple-pattern queries with many results,No-Rank Approach,Our Approach,same,Same
42,List of late actresses from Los Angeles; and their death dates ?,Triple-pattern queries with many results,No-Rank Approach,Our Approach,same,same
42,List of late actresses from Los Angeles; and their death dates ?,Triple-pattern queries with many results,No-Rank Approach,Our Approach,same,same
42,List of late actresses from Los Angeles; and their death dates ?,Triple-pattern queries with many results,No-Rank Approach,Our Approach,Our Approach,x has new ones
43,List of people who died in WWII and their resting places ?,Triple-pattern queries with many results,Our Approach,No-Rank Approach,same,Both lists are good.
43,List of people who died in WWII and their resting places ?,Triple-pattern queries with many results,Our Approach,No-Rank Approach,same,Equal
43,List of people who died in WWII and their resting places ?,Triple-pattern queries with many results,Our Approach,No-Rank Approach,same,same
43,List of people who died in WWII and their resting places ?,Triple-pattern queries with many results,Our Approach,No-Rank Approach,same,Same
43,List of people who died in WWII and their resting places ?,Triple-pattern queries with many results,Our Approach,No-Rank Approach,same,both list are same
46,List of actors who are also executive producers ?,Triple-pattern queries with many results,Our Approach,No-Rank Approach,same,both provides valid list
46,List of actors who are also executive producers ?,Triple-pattern queries with many results,Our Approach,No-Rank Approach,same,Both lists are good.
46,List of actors who are also executive producers ?,Triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,reconocidos actores productores
46,List of actors who are also executive producers ?,Triple-pattern queries with many results,Our Approach,No-Rank Approach,No-Rank Approach,y list has more various results
46,List of actors who are also executive producers ?,Triple-pattern queries with many results,Our Approach,No-Rank Approach,same,Equal
185,List of Charlie Chaplin movies that were directed by one of their stars ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,The List X contain the information
185,List of Charlie Chaplin movies that were directed by one of their stars ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,y list is about movies not directed by Chaplin
185,List of Charlie Chaplin movies that were directed by one of their stars ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,No-Rank Approach,"All of list X were directed by himself, i mean Charlie Chaplin"
185,List of Charlie Chaplin movies that were directed by one of their stars ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,Not Chaplin's movies on Y list.
185,List of Charlie Chaplin movies that were directed by one of their stars ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,Better
186,List of Cannes Festival Film movies that were directed; writtern; and starred by the same person ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,Our Approach,Y as known movies starring and directed by famous people
186,List of Cannes Festival Film movies that were directed; writtern; and starred by the same person ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,Our Approach,More known names
186,List of Cannes Festival Film movies that were directed; writtern; and starred by the same person ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,same,x and y famous person is director and starrinh
186,List of Cannes Festival Film movies that were directed; writtern; and starred by the same person ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,same,all they are were
186,List of Cannes Festival Film movies that were directed; writtern; and starred by the same person ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,Our Approach,Y are more popular
187,List of authors-politicians who graduated from a university in England ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,Our Approach,y list has all British Universities
187,List of authors-politicians who graduated from a university in England ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,same,Equal
187,List of authors-politicians who graduated from a university in England ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,Our Approach,list x Various literary genres
187,List of authors-politicians who graduated from a university in England ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,same,Same
187,List of authors-politicians who graduated from a university in England ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,No-Rank Approach,y is amricans
188,List of black comedy movies ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,Our Approach,Y has black comedy movies and were made by famous directors
188,List of black comedy movies ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,Our Approach,Better known movies
188,List of black comedy movies ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,same,Not black comedy in two.
188,List of black comedy movies ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,Our Approach,y has movies of black comedy
188,List of black comedy movies ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,same,X and Y are the same
190,List of rock stars from Ottawa ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,Our Approach,Y is corect
190,List of rock stars from Ottawa ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,Our Approach,there is no proper answer in X list; Y contains few
190,List of rock stars from Ottawa ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,Our Approach,"Y is better. X is irrelevant, it does not include any rock stars from Ottawa"
190,List of rock stars from Ottawa ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,Our Approach,better
190,List of rock stars from Ottawa ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,Our Approach,ottowa
193,List of names and profits of comedy movies directed by one of their stars ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,No-Rank Approach,List X have repeats
193,List of names and profits of comedy movies directed by one of their stars ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,same,both list is corect
193,List of names and profits of comedy movies directed by one of their stars ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,No errors on lists.
193,List of names and profits of comedy movies directed by one of their stars ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,same,same quality
193,List of names and profits of comedy movies directed by one of their stars ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,X list is more accurate
194,List of authors who are also actors in drama movies ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,x list has more popular results
194,List of authors who are also actors in drama movies ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,same,Equal
194,List of authors who are also actors in drama movies ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,No-Rank Approach,x list musicals
194,List of authors who are also actors in drama movies ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,Actors
194,List of authors who are also actors in drama movies ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,X better
195,List of scientist who were born and died in the same place ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,No-Rank Approach,"X list is better because contains some cities,not only countries."
195,List of scientist who were born and died in the same place ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,Our Approach,More results
195,List of scientist who were born and died in the same place ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,No-Rank Approach,X - more closed places
195,List of scientist who were born and died in the same place ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,same,Same
195,List of scientist who were born and died in the same place ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,same,both list are same
197,List of law schools; their locations; and their number of students ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,same,There is no better set.
197,List of law schools; their locations; and their number of students ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,"some from X are law schools, but only 1 in Y is a law school"
197,List of law schools; their locations; and their number of students ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,No-Rank Approach,fail list x
197,List of law schools; their locations; and their number of students ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,No-Rank Approach,X's answers are quit difficult to judge.
197,List of law schools; their locations; and their number of students ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,X list is more informative
199,List of results; each result represents: two shows both created by the same person; and both directed by the same person ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,No-Rank Approach,Both lists contain information requested but the list Y is more varied.
199,List of results; each result represents: two shows both created by the same person; and both directed by the same person ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,No-Rank Approach,y list has more various results
199,List of results; each result represents: two shows both created by the same person; and both directed by the same person ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,Y includes differents creator for the same film.
199,List of results; each result represents: two shows both created by the same person; and both directed by the same person ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,Only second and last example on Y list are correct.
199,List of results; each result represents: two shows both created by the same person; and both directed by the same person ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,same,Same
200,List of comedy writers who are married to sitcom-producers ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,same,both are corect
200,List of comedy writers who are married to sitcom-producers ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,The list X is wrong
200,List of comedy writers who are married to sitcom-producers ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,No-Rank Approach,On X list there is one mistake:Alex_Borstein spouse Alex_Borstein!
200,List of comedy writers who are married to sitcom-producers ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,same,Same
200,List of comedy writers who are married to sitcom-producers ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,same,"X and Y, Both could be the answer"
201,List of christmas movies; their stars and directors ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,more movies
201,List of christmas movies; their stars and directors ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,same,Both is corect because is a list of christmas movies and their stars and directors
201,List of christmas movies; their stars and directors ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,"I'm not sure is any film from Y list about Christmac,on X list I see at least one."
201,List of christmas movies; their stars and directors ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,better options
201,List of christmas movies; their stars and directors ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,"X contains at least one Christmas movie, Y don't"
202,List of death places of wedding-movie writers ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,same quality
202,List of death places of wedding-movie writers ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,same,"X and Y, Are as well known as others"
202,List of death places of wedding-movie writers ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,x because that list contains wedding film directors
202,List of death places of wedding-movie writers ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,same,They both are same.
202,List of death places of wedding-movie writers ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,more wedding movie
203,List of Bette Davis movies with her late co-stars ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,Our Approach,x list doesn't answer to the question
203,List of Bette Davis movies with her late co-stars ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,Our Approach,Fail in list x
203,List of Bette Davis movies with her late co-stars ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,Our Approach,x list no bette davis movies
203,List of Bette Davis movies with her late co-stars ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,same,Same
203,List of Bette Davis movies with her late co-stars ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,Our Approach,better answer
204,List of late comedy directors; their death places and dates ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,x has more famous names
204,List of late comedy directors; their death places and dates ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,X They are better known names of directors
204,List of late comedy directors; their death places and dates ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,same,both x and y answer the question
204,List of late comedy directors; their death places and dates ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,same,They both are same.
204,List of late comedy directors; their death places and dates ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,No-Rank Approach,more detailed
205,List of actors-authors ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,william shakespeare is one of the greatest authors ever lived
205,List of actors-authors ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,All Shakespeare
205,List of actors-authors ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,"William Shakespeare is famous, from other list I've never heard about anybody"
205,List of actors-authors ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,No-Rank Approach,this list is more precise
205,List of actors-authors ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,No-Rank Approach,Y contain more authors
206,List of Grammy Awards wining producer who were born in NYC ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,All producers were born in NYC.
206,List of Grammy Awards wining producer who were born in NYC ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,same,same
206,List of Grammy Awards wining producer who were born in NYC ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,more famous people in x
206,List of Grammy Awards wining producer who were born in NYC ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,more producers
206,List of Grammy Awards wining producer who were born in NYC ?,Extended triple-pattern queries with many results,Our Approach,No-Rank Approach,No-Rank Approach,better
207,List of award-wining feminist authors ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,Our Approach,The List Y contain the information
207,List of award-wining feminist authors ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,Our Approach,Alice Munro is the only feminist author who I know :)
207,List of award-wining feminist authors ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,same,Both list include feminist authors.
207,List of award-wining feminist authors ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,Our Approach,lists male and female authors.
207,List of award-wining feminist authors ?,Extended triple-pattern queries with many results,No-Rank Approach,Our Approach,same,Same
242,List of producers who had worked with Frank Sinatra ?,Triple-pattern queries with zero results,No-Rank Approach,Our Approach,Our Approach,Y is corect
242,List of producers who had worked with Frank Sinatra ?,Triple-pattern queries with zero results,No-Rank Approach,Our Approach,Our Approach,"There is no correct answers in X, while Y gives a few"
242,List of producers who had worked with Frank Sinatra ?,Triple-pattern queries with zero results,No-Rank Approach,Our Approach,Our Approach,"Y is better because it’s more accurate.. X not answered the question,  Y partially answered the question"
242,List of producers who had worked with Frank Sinatra ?,Triple-pattern queries with zero results,No-Rank Approach,Our Approach,Our Approach,X has no frank
242,List of producers who had worked with Frank Sinatra ?,Triple-pattern queries with zero results,No-Rank Approach,Our Approach,Our Approach,true list
243,List of national-book-award wining thriller novels ?,Triple-pattern queries with zero results,Our Approach,No-Rank Approach,Our Approach,X is corect
243,List of national-book-award wining thriller novels ?,Triple-pattern queries with zero results,Our Approach,No-Rank Approach,same,Same
243,List of national-book-award wining thriller novels ?,Triple-pattern queries with zero results,Our Approach,No-Rank Approach,Our Approach,about fiction
243,List of national-book-award wining thriller novels ?,Triple-pattern queries with zero results,Our Approach,No-Rank Approach,Our Approach,x are more valuable awards
243,List of national-book-award wining thriller novels ?,Triple-pattern queries with zero results,Our Approach,No-Rank Approach,Our Approach,Y not all books
244,List of movies starred by both Frank Sinatra and John Mahoney ?,Triple-pattern queries with zero results,No-Rank Approach,Our Approach,same,Same list
244,List of movies starred by both Frank Sinatra and John Mahoney ?,Triple-pattern queries with zero results,No-Rank Approach,Our Approach,No-Rank Approach,X is close to corect
244,List of movies starred by both Frank Sinatra and John Mahoney ?,Triple-pattern queries with zero results,No-Rank Approach,Our Approach,same,No film with both of them starring in it.
244,List of movies starred by both Frank Sinatra and John Mahoney ?,Triple-pattern queries with zero results,No-Rank Approach,Our Approach,same,they font act in both
244,List of movies starred by both Frank Sinatra and John Mahoney ?,Triple-pattern queries with zero results,No-Rank Approach,Our Approach,same,There is no correct answer in both lists
245,List of comedy movies starred by a couple and directed by Frank Sinatra ?,Extended triple pattern queries with zero results,Our Approach,No-Rank Approach,same,Even one film from both lists is not directed by Sinatra.
245,List of comedy movies starred by a couple and directed by Frank Sinatra ?,Extended triple pattern queries with zero results,Our Approach,No-Rank Approach,same,same
245,List of comedy movies starred by a couple and directed by Frank Sinatra ?,Extended triple pattern queries with zero results,Our Approach,No-Rank Approach,same,none with sinatra
245,List of comedy movies starred by a couple and directed by Frank Sinatra ?,Extended triple pattern queries with zero results,Our Approach,No-Rank Approach,same,same
245,List of comedy movies starred by a couple and directed by Frank Sinatra ?,Extended triple pattern queries with zero results,Our Approach,No-Rank Approach,same,none of them answer
246,List of Woody Allen movies that Dick Hyman worked on ?,Triple-pattern queries with zero results,No-Rank Approach,Our Approach,Our Approach,Y is corect
246,List of Woody Allen movies that Dick Hyman worked on ?,Triple-pattern queries with zero results,No-Rank Approach,Our Approach,Our Approach,Better
246,List of Woody Allen movies that Dick Hyman worked on ?,Triple-pattern queries with zero results,No-Rank Approach,Our Approach,Our Approach,Woody Allen movies that Dick Hyman worked on
246,List of Woody Allen movies that Dick Hyman worked on ?,Triple-pattern queries with zero results,No-Rank Approach,Our Approach,Our Approach,x not dick hayman
246,List of Woody Allen movies that Dick Hyman worked on ?,Triple-pattern queries with zero results,No-Rank Approach,Our Approach,Our Approach,X no dick hyman
248,List of doctors who graduated from the University of Oxford ?,Triple-pattern queries with zero results,Our Approach,No-Rank Approach,same,both lists have poor results
248,List of doctors who graduated from the University of Oxford ?,Triple-pattern queries with zero results,Our Approach,No-Rank Approach,same,Equal
248,List of doctors who graduated from the University of Oxford ?,Triple-pattern queries with zero results,Our Approach,No-Rank Approach,Our Approach,In list b there is a doctor graduated in the university of padua
248,List of doctors who graduated from the University of Oxford ?,Triple-pattern queries with zero results,Our Approach,No-Rank Approach,same,All are from Oxford
248,List of doctors who graduated from the University of Oxford ?,Triple-pattern queries with zero results,Our Approach,No-Rank Approach,same,they all did
249,List of movies produced by Woody Allen and directed by Scarlett Johansson ?,Triple-pattern queries with zero results,Our Approach,No-Rank Approach,Our Approach,Y list is wrong.
249,List of movies produced by Woody Allen and directed by Scarlett Johansson ?,Triple-pattern queries with zero results,Our Approach,No-Rank Approach,Our Approach,"Some in X, nothing in Y, data is clear"
249,List of movies produced by Woody Allen and directed by Scarlett Johansson ?,Triple-pattern queries with zero results,Our Approach,No-Rank Approach,Our Approach,Fail list y
249,List of movies produced by Woody Allen and directed by Scarlett Johansson ?,Triple-pattern queries with zero results,Our Approach,No-Rank Approach,Our Approach,I think X is a better answer.
249,List of movies produced by Woody Allen and directed by Scarlett Johansson ?,Triple-pattern queries with zero results,Our Approach,No-Rank Approach,same,Both lists are missing correct data
250,List of movies created by John Mahoney and starred by Jane Leeves ?,Triple-pattern queries with zero results,Our Approach,No-Rank Approach,same,both lists are unvalid
250,List of movies created by John Mahoney and starred by Jane Leeves ?,Triple-pattern queries with zero results,Our Approach,No-Rank Approach,No-Rank Approach,fail in list y
250,List of movies created by John Mahoney and starred by Jane Leeves ?,Triple-pattern queries with zero results,Our Approach,No-Rank Approach,Our Approach,X list contains only answer to the question
250,List of movies created by John Mahoney and starred by Jane Leeves ?,Triple-pattern queries with zero results,Our Approach,No-Rank Approach,Our Approach,John_Mahoney
250,List of movies created by John Mahoney and starred by Jane Leeves ?,Triple-pattern queries with zero results,Our Approach,No-Rank Approach,Our Approach,only x list has searched names
251,List of Woody Allen movies writers ?,Triple-pattern queries with zero results,No-Rank Approach,Our Approach,Our Approach,x list isn't about Allen's movies
251,List of Woody Allen movies writers ?,Triple-pattern queries with zero results,No-Rank Approach,Our Approach,Our Approach,fail in list x
251,List of Woody Allen movies writers ?,Triple-pattern queries with zero results,No-Rank Approach,Our Approach,Our Approach,Only Y list contains answers to the question
251,List of Woody Allen movies writers ?,Triple-pattern queries with zero results,No-Rank Approach,Our Approach,Our Approach,Y flimleri doğru
251,List of Woody Allen movies writers ?,Triple-pattern queries with zero results,No-Rank Approach,Our Approach,Our Approach,only y list contains woody allen movies
253,List of people who dies in Agatha Christie's death place; and who graduated from Oxford ?,Triple-pattern queries with zero results,Our Approach,No-Rank Approach,Our Approach,More results
253,List of people who dies in Agatha Christie's death place; and who graduated from Oxford ?,Triple-pattern queries with zero results,Our Approach,No-Rank Approach,Our Approach,X is corect
253,List of people who dies in Agatha Christie's death place; and who graduated from Oxford ?,Triple-pattern queries with zero results,Our Approach,No-Rank Approach,same,Not sure is it mistakes but we were asked about dying in Agatha's death places both on both lists we have only birth places for these people.
253,List of people who dies in Agatha Christie's death place; and who graduated from Oxford ?,Triple-pattern queries with zero results,Our Approach,No-Rank Approach,Our Approach,cover same topic
253,List of people who dies in Agatha Christie's death place; and who graduated from Oxford ?,Triple-pattern queries with zero results,Our Approach,No-Rank Approach,same,both lists are bad
894,List of movies that were directed by one of their stars ?,Triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,Well known names
894,List of movies that were directed by one of their stars ?,Triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,"all are famous in list X, list Y not so famous persons"
894,List of movies that were directed by one of their stars ?,Triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,X has more famous movies
894,List of movies that were directed by one of their stars ?,Triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,x has better known stars
894,List of movies that were directed by one of their stars ?,Triple-pattern queries with many results,Our Approach,No-Rank Approach,Our Approach,Y are not so popular
895,List of movies starred by couples; and their directors ?,Triple-pattern queries with many results,Our Approach,No-Rank Approach,same,Everything is correct.
895,List of movies starred by couples; and their directors ?,Triple-pattern queries with many results,Our Approach,No-Rank Approach,same,Equal
895,List of movies starred by couples; and their directors ?,Triple-pattern queries with many results,Our Approach,No-Rank Approach,same,same
895,List of movies starred by couples; and their directors ?,Triple-pattern queries with many results,Our Approach,No-Rank Approach,same,Same
895,List of movies starred by couples; and their directors ?,Triple-pattern queries with many results,Our Approach,No-Rank Approach,same,both list  are same
896,List of actors who are influenced by the same people ?,Triple-pattern queries with many results,No-Rank Approach,Our Approach,No-Rank Approach,thare are more actors in the x list
896,List of actors who are influenced by the same people ?,Triple-pattern queries with many results,No-Rank Approach,Our Approach,No-Rank Approach,more results
896,List of actors who are influenced by the same people ?,Triple-pattern queries with many results,No-Rank Approach,Our Approach,Our Approach,Y is corect
