Query_ID,Query_Natural_Language,Query_Type,ModelX,ModelY,User_Choice,Comment/Explanation
39,List of people interested in History ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,is most varibility
39,List of people interested in History ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,same
40,List of people influenced by Freud ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,bouth answer the question right
40,List of people influenced by Freud ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,it are same
40,List of people influenced by Freud ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,are the same list
41,List of art directors ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,Both have a varied list
41,List of art directors ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,they are totally same.
41,List of art directors ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,Both
42,List of late actresses from Los Angeles; and their death dates ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,same
42,List of late actresses from Los Angeles; and their death dates ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,same the booth are equally
42,List of late actresses from Los Angeles; and their death dates ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,Both
43,List of people who died in WWII and their resting places ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,bouth answer the question right
43,List of people who died in WWII and their resting places ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,same list answer the question
43,List of people who died in WWII and their resting places ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,x - less duplicates
44,List of award-winning cartoonists ? ,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,List more varied
44,List of award-winning cartoonists ? ,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y has more various results.
44,List of award-winning cartoonists ? ,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,Y
45,List of novelists ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,y repeats answers
45,List of novelists ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Relevance-only Approach,is most varibility
45,List of novelists ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,List of novelists
46,List of actors who are also executive producers ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,List more varied
46,List of actors who are also executive producers ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,x has more various results
46,List of actors who are also executive producers ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,X
185,List of Charlie Chaplin movies that were directed by one of their stars ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,x give only chaplin answers
185,List of Charlie Chaplin movies that were directed by one of their stars ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Relevance-only Approach,X
185,List of Charlie Chaplin movies that were directed by one of their stars ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Relevance-only Approach,x is all about charlie chaplin but y not.
186,List of Cannes Festival Film movies that were directed; writtern; and starred by the same person ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,bouth answer the question right
186,List of Cannes Festival Film movies that were directed; writtern; and starred by the same person ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,it are the same booth
186,List of Cannes Festival Film movies that were directed; writtern; and starred by the same person ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,the same list anwer the question
187,List of authors-politicians who graduated from a university in England ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,bouth answer the question right
187,List of authors-politicians who graduated from a university in England ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y has more various politicians.
187,List of authors-politicians who graduated from a university in England ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,better are the y
188,List of black comedy movies ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,bouth answer the question right
188,List of black comedy movies ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,same list answer the question
188,List of black comedy movies ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,list more varied
189,List of Tom Hanks movies ?,Extended triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,bouth answer the question right
189,List of Tom Hanks movies ?,Extended triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Relevance-only Approach,recent movies
189,List of Tom Hanks movies ?,Extended triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,same the booth are equally
190,List of rock music singers from Ottawa ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,x repeats answers
190,List of rock music singers from Ottawa ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Relevance-only Approach,more relevant
190,List of rock music singers from Ottawa ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y are the better than x
191,List of WB shows ?,Extended triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,y repeats answers
191,List of WB shows ?,Extended triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,same the booth are equally
191,List of WB shows ?,Extended triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,x - less duplicates
192,List of producers who worked with De Niro ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,bouth answer the question right
192,List of producers who worked with De Niro ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y is better than x
192,List of producers who worked with De Niro ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,are the list answer the question
193,List of names and profits of comedy movies directed by one of their stars ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,List of comedies and more varied producers
193,List of names and profits of comedy movies directed by one of their stars ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,"y has 10 different names, x has 9."
193,List of names and profits of comedy movies directed by one of their stars ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,Both
194,List of authors who are also actors in drama movies ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y - less duplicates
194,List of authors who are also actors in drama movies ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y are the better than x
194,List of authors who are also actors in drama movies ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,Both
195,List of scientist who were born and died in the same place ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,x give onlu us answers
195,List of scientist who were born and died in the same place ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,is most varibility
195,List of scientist who were born and died in the same place ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,List of scientists and their locations
196,List of Australian comedy shows ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,bouth answer the question right
196,List of Australian comedy shows ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,same the booth are equally
196,List of Australian comedy shows ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y - less duplicates
197,List of law school institutions ?,Extended triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,y repeats
197,List of law school institutions ?,Extended triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,x is more various than y.
197,List of law school institutions ?,Extended triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,x are the better than y
198,List of Oxford graduates ?,Extended triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,bouth answer the question right
198,List of Oxford graduates ?,Extended triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,Both
198,List of Oxford graduates ?,Extended triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,they are totally same.
199,List of creators and directors who worked in the same show ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,x repeats answers
199,List of creators and directors who worked in the same show ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,is most varibility
199,List of creators and directors who worked in the same show ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y - less duplicates
200,List of comedy writers who are married to sitcom-producers ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y - less duplicates
200,List of comedy writers who are married to sitcom-producers ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y are the better than x
200,List of comedy writers who are married to sitcom-producers ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,Y
201,List of Christmas movies; their stars and directors ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y - less duplicates
201,List of Christmas movies; their stars and directors ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,same the booth are equally
201,List of Christmas movies; their stars and directors ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,are the same
202,List of death places of wedding-movie writers ?,Extended triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,bouth answer the question right
202,List of death places of wedding-movie writers ?,Extended triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,same the booth are equally
202,List of death places of wedding-movie writers ?,Extended triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,x - less duplicates
203,List of Bette Davis movies with her late co-stars ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y - less duplicates
203,List of Bette Davis movies with her late co-stars ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y are the better than x
203,List of Bette Davis movies with her late co-stars ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Relevance-only Approach,are the correct choice
204,List of late comedy directors; their death places and dates ?,Extended triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,x are the better than y
204,List of late comedy directors; their death places and dates ?,Extended triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,X
204,List of late comedy directors; their death places and dates ?,Extended triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,x - less duplicates
205,List of actors-authors ?,Extended triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,x is the better
205,List of actors-authors ?,Extended triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,X
205,List of actors-authors ?,Extended triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,x - less duplicates
206,List of Grammy Awards wining producers who were born in NYC ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,bouth answer the question right
206,List of Grammy Awards wining producers who were born in NYC ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y has more various people than x.
206,List of Grammy Awards wining producers who were born in NYC ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y are the better than x
207,List of award-wining authors ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y give beater answer
207,List of award-wining authors ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,it are the same booth
207,List of award-wining authors ?,Extended triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,is most varibility
242,List of producers who had worked with Frank Sinatra ?,Triple-pattern queries with zero results,Relevance-only Approach,Query-based Diversity Approach,Relevance-only Approach,x give beather answer
242,List of producers who had worked with Frank Sinatra ?,Triple-pattern queries with zero results,Relevance-only Approach,Query-based Diversity Approach,Relevance-only Approach,X
242,List of producers who had worked with Frank Sinatra ?,Triple-pattern queries with zero results,Relevance-only Approach,Query-based Diversity Approach,Relevance-only Approach,x is all about frank sinatra but y not.
243,List of national-book-award winning thriller novels ?,Triple-pattern queries with zero results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,x has repet of answers
243,List of national-book-award winning thriller novels ?,Triple-pattern queries with zero results,Relevance-only Approach,Query-based Diversity Approach,same,it are the same
243,List of national-book-award winning thriller novels ?,Triple-pattern queries with zero results,Relevance-only Approach,Query-based Diversity Approach,Relevance-only Approach,y - not trillers
244,List of movies starred by both Frank Sinatra and John Mahoney ?,Triple-pattern queries with zero results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y give better answer
244,List of movies starred by both Frank Sinatra and John Mahoney ?,Triple-pattern queries with zero results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,is most varibility
244,List of movies starred by both Frank Sinatra and John Mahoney ?,Triple-pattern queries with zero results,Relevance-only Approach,Query-based Diversity Approach,same,both bad
245,List of comedy movies starred by a couple and directed by Frank Sinatra ?,Extended triple pattern queries with zero results,Query-based Diversity Approach,Relevance-only Approach,same,Both have a varied list
245,List of comedy movies starred by a couple and directed by Frank Sinatra ?,Extended triple pattern queries with zero results,Query-based Diversity Approach,Relevance-only Approach,same,both of them has no director named frank sinatra
245,List of comedy movies starred by a couple and directed by Frank Sinatra ?,Extended triple pattern queries with zero results,Query-based Diversity Approach,Relevance-only Approach,same,Both
246,List of Woody Allen movies that Dick Hyman worked on ?,Triple-pattern queries with zero results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,y repeats
246,List of Woody Allen movies that Dick Hyman worked on ?,Triple-pattern queries with zero results,Query-based Diversity Approach,Relevance-only Approach,same,"in both x and y, there are 2 Woody Allen movies that Dick Hyman worked on"
246,List of Woody Allen movies that Dick Hyman worked on ?,Triple-pattern queries with zero results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,x are the better than y
247,List of egyptian writers  ?,Extended triple pattern queries with zero results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,y repeats
247,List of egyptian writers  ?,Extended triple pattern queries with zero results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,x has more various people.
247,List of egyptian writers  ?,Extended triple pattern queries with zero results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,x are the bettr than y
248,List of doctors who graduated from the University of Oxford ?,Triple-pattern queries with zero results,Relevance-only Approach,Query-based Diversity Approach,same,bouth answer the question right
248,List of doctors who graduated from the University of Oxford ?,Triple-pattern queries with zero results,Relevance-only Approach,Query-based Diversity Approach,Relevance-only Approach,more relevant
248,List of doctors who graduated from the University of Oxford ?,Triple-pattern queries with zero results,Relevance-only Approach,Query-based Diversity Approach,same,same the booth are equally
249,List of movies produced by Woody Allen and directed by Scarlett Johansson ?,Triple-pattern queries with zero results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,x repeats answers
249,List of movies produced by Woody Allen and directed by Scarlett Johansson ?,Triple-pattern queries with zero results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,more relevant
249,List of movies produced by Woody Allen and directed by Scarlett Johansson ?,Triple-pattern queries with zero results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y are the better than x
250,List of movies created by John Mahoney and starred by Jane Leeves ?,Triple-pattern queries with zero results,Relevance-only Approach,Query-based Diversity Approach,Relevance-only Approach,x - has answer
250,List of movies created by John Mahoney and starred by Jane Leeves ?,Triple-pattern queries with zero results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y are the bettter than x
250,List of movies created by John Mahoney and starred by Jane Leeves ?,Triple-pattern queries with zero results,Relevance-only Approach,Query-based Diversity Approach,same,the list are the same
251,List of Woody Allen movies writers ?,Triple-pattern queries with zero results,Relevance-only Approach,Query-based Diversity Approach,Relevance-only Approach,x answer beater
251,List of Woody Allen movies writers ?,Triple-pattern queries with zero results,Relevance-only Approach,Query-based Diversity Approach,Relevance-only Approach,x is all about woody allen.
251,List of Woody Allen movies writers ?,Triple-pattern queries with zero results,Relevance-only Approach,Query-based Diversity Approach,Relevance-only Approach,x are the better than y
252,List of Brazilian actors ?,Extended triple pattern queries with zero results,Query-based Diversity Approach,Relevance-only Approach,Relevance-only Approach,y give beater answer
252,List of Brazilian actors ?,Extended triple pattern queries with zero results,Query-based Diversity Approach,Relevance-only Approach,Relevance-only Approach,is most varibility
252,List of Brazilian actors ?,Extended triple pattern queries with zero results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,list more varied
253,List of people who were born in Agatha Christie's death place; and who graduated from Oxford ?,Triple-pattern queries with zero results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,x are the better than y
253,List of people who were born in Agatha Christie's death place; and who graduated from Oxford ?,Triple-pattern queries with zero results,Query-based Diversity Approach,Relevance-only Approach,Relevance-only Approach,Y
253,List of people who were born in Agatha Christie's death place; and who graduated from Oxford ?,Triple-pattern queries with zero results,Query-based Diversity Approach,Relevance-only Approach,Relevance-only Approach,y - more
894,List of movies that were directed by one of their stars ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,bouth answer the question right
894,List of movies that were directed by one of their stars ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,same list answer the question
894,List of movies that were directed by one of their stars ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,list more varied
895,List of movies starred by couples; and their directors ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,bouth answer the question right
895,List of movies starred by couples; and their directors ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,same list answer the question
895,List of movies starred by couples; and their directors ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y - less duplicates
896,List of actors who are influenced by the same people ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,x repeats answers
896,List of actors who are influenced by the same people ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,is most varibility
896,List of actors who are influenced by the same people ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,list more varied
897,List of movies that were directed by one of their stars; and their religion ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,More varied list of stars and religions
897,List of movies that were directed by one of their stars; and their religion ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y has more various actors.
897,List of movies that were directed by one of their stars; and their religion ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,Y
898,List of couples who were born in the same place ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,x is better than y
898,List of couples who were born in the same place ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,Both
898,List of couples who were born in the same place ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,Query-based Diversity Approach,x - less duplicates
899,List of information about the company that produced Seinfeld ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,bouth answer the question right
899,List of information about the company that produced Seinfeld ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,same are the equally
899,List of information about the company that produced Seinfeld ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y - less duplicates
900,List of romance-novel writers ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,bouth answer the question right
900,List of romance-novel writers ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,y better than x
900,List of romance-novel writers ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,same
901,List of sitcoms produced by WB ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,same
901,List of sitcoms produced by WB ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,same,same the booth are equally
901,List of sitcoms produced by WB ?,Triple-pattern queries with many results,Relevance-only Approach,Query-based Diversity Approach,Query-based Diversity Approach,Y
902,List of sitcoms produced by the company that produced Home Improvement ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,same list answer the question
902,List of sitcoms produced by the company that produced Home Improvement ?,Triple-pattern queries with many results,Query-based Diversity Approach,Relevance-only Approach,same,same the booth are equally
